Cenario,Clientes,Mobilidade,Aplicacao,Throughput_Medio_Mbps,Delay_Medio_ms,Taxa_Perda_%,Pacotes_TX,Pacotes_RX,Pacotes_Perdidos,APP_TX,IP_TX,WiFi_TX,WiFi_RX,WiFi_DROP
c1_mobile_cbr,1,mobile,mobile_cbr,531.000,4.229,0.00,14750,14750,0,7375,44253,30122,30122,0
c1_mobile_mixed,1,mobile,mobile_mixed,531.000,4.229,0.00,14750,14750,0,7375,44253,30122,30122,0
c1_mobile_tcp,1,mobile,mobile_tcp,290.871,4.287,0.00,11328,11328,0,2516,33984,23276,23276,0
c1_static_cbr,1,static,static_cbr,531.000,4.230,0.00,14750,14750,0,7375,44253,30122,30122,0
c1_static_mixed,1,static,static_mixed,531.000,4.230,0.00,14750,14750,0,7375,44253,30122,30122,0
c1_static_tcp,1,static,static_tcp,290.871,4.288,0.00,11328,11328,0,2516,33984,23276,23276,0
c2_mobile_cbr,2,mobile,mobile_cbr,531.000,4.511,0.00,29500,29500,0,14750,88506,74522,121955,27089
c2_mobile_mixed,2,mobile,mobile_mixed,410.936,4.269,0.00,26078,26078,0,9891,78237,52891,105601,181
c2_mobile_tcp,2,mobile,mobile_tcp,290.871,4.287,0.00,22656,22656,0,5032,67968,45952,91894,10
c2_static_cbr,2,static,static_cbr,531.000,4.383,0.00,29500,29500,0,14750,88506,67338,111860,22816
c2_static_mixed,2,static,static_mixed,410.936,4.269,0.00,26078,26078,0,9891,78237,52836,105551,121
c2_static_tcp,2,static,static_tcp,290.871,4.288,0.00,22656,22656,0,5032,67968,45950,91891,9
c4_mobile_cbr,4,mobile,mobile_cbr,531.000,4.795,0.00,59000,59000,0,29500,177012,153666,481127,133538
c4_mobile_mixed,4,mobile,mobile_mixed,410.936,4.498,0.00,52156,52156,0,19782,156474,120938,432089,51663
c4_mobile_tcp,4,mobile,mobile_tcp,290.871,4.338,0.00,45312,45312,0,10064,135936,91730,365410,1510
c4_static_cbr,4,static,static_cbr,531.000,4.666,0.00,59000,59000,0,29500,177012,144532,455539,122589
c4_static_mixed,4,static,static_mixed,410.936,4.365,0.00,52156,52156,0,19782,156474,112827,405813,45496
c4_static_tcp,4,static,static_tcp,290.871,4.291,0.00,45312,45312,0,10064,135936,91298,365156,36
c8_mobile_cbr,8,mobile,mobile_cbr,531.000,5.426,0.00,118000,118000,0,59000,354024,317294,1935781,602571
c8_mobile_mixed,8,mobile,mobile_mixed,410.382,4.688,0.10,104312,104189,123,39564,312948,243813,1701943,248564
c8_mobile_tcp,8,mobile,mobile_tcp,290.871,4.339,0.00,90624,90624,0,20128,271872,183431,1458197,9254
c8_static_cbr,8,static,static_cbr,531.000,5.308,0.00,118000,118000,0,59000,354024,305889,1842231,604885
c8_static_mixed,8,static,static_mixed,410.936,4.590,0.00,104312,104312,0,39564,312948,235361,1609991,272906
c8_static_tcp,8,static,static_tcp,290.871,4.362,0.00,90624,90624,0,20128,271872,183333,1457216,9448
c16_mobile_cbr,16,mobile,mobile_cbr,514.368,7.289,3.13,235988,228608,7379,118000,709722,598095,7670729,1898812
c16_mobile_mixed,16,mobile,mobile_mixed,410.633,5.014,0.00,208438,208437,1,79086,625336,503511,6865928,1190256
c16_mobile_tcp,16,mobile,mobile_tcp,290.568,4.531,0.00,181059,181059,0,40214,543177,373291,5848017,124687
c16_static_cbr,16,static,static_cbr,487.528,7.057,8.18,235985,216679,19305,118000,709722,566440,7185881,1877270
c16_static_mixed,16,static,static_mixed,410.018,5.154,0.00,208053,208053,0,79001,624183,493032,6688680,1199987
c16_static_tcp,16,static,static_tcp,290.871,4.877,0.00,181248,181248,0,40256,543744,377811,5861781,183232
c32_mobile_cbr,32,mobile,mobile_cbr,234.626,226.297,51.10,437028,208556,209920,236000,1244366,637655,14884833,5520192
c32_mobile_mixed,32,mobile,mobile_mixed,244.506,37.373,33.15,366601,234953,128318,146424,1099791,652148,16166842,4701974
c32_mobile_tcp,32,mobile,mobile_tcp,230.211,21.004,10.13,289215,268249,20784,60055,867579,620535,17867359,1989925
c32_static_cbr,32,static,static_cbr,199.786,15.625,54.58,386529,160939,202666,236000,991046,492642,10373596,5406869
c32_static_mixed,32,static,static_mixed,218.179,12.583,37.43,311217,187485,116143,140176,886730,518989,11644511,4982092
c32_static_tcp,32,static,static_tcp,217.117,7.226,16.32,247977,232311,14949,54054,743549,552177,13910948,3772294
