Mobilidade,Aplicacao,Clientes,Throughput_Medio_Mbps,Delay_Medio_ms,Taxa_Perda_%,Pacotes_Perdidos
Mobile,CBR,1,531.0,4.229,0.0,0.0
Mobile,CBR,2,531.0,4.511,0.0,0.0
Mobile,CBR,4,531.0,4.795,0.0,0.0
Mobile,CBR,8,531.0,5.426,0.0,0.0
Mobile,CBR,16,514.368,7.289,3.13,7379.0
Mobile,CBR,32,234.626,226.297,51.1,209920.0
Mobile,MIXED,1,531.0,4.229,0.0,0.0
Mobile,MIXED,2,410.936,4.269,0.0,0.0
Mobile,MIXED,4,410.936,4.498,0.0,0.0
Mobile,MIXED,8,410.382,4.688,0.1,123.0
Mobile,MIXED,16,410.633,5.014,0.0,1.0
Mobile,MIXED,32,244.506,37.373,33.15,128318.0
Mobile,TCP,1,290.871,4.287,0.0,0.0
Mobile,TCP,2,290.871,4.287,0.0,0.0
Mobile,TCP,4,290.871,4.338,0.0,0.0
Mobile,TCP,8,290.871,4.339,0.0,0.0
Mobile,TCP,16,290.568,4.531,0.0,0.0
Mobile,TCP,32,230.211,21.004,10.13,20784.0
Static,CBR,1,531.0,4.23,0.0,0.0
Static,CBR,2,531.0,4.383,0.0,0.0
Static,CBR,4,531.0,4.666,0.0,0.0
Static,CBR,8,531.0,5.308,0.0,0.0
Static,CBR,16,487.528,7.057,8.18,19305.0
Static,CBR,32,199.786,15.625,54.58,202666.0
Static,MIXED,1,531.0,4.23,0.0,0.0
Static,MIXED,2,410.936,4.269,0.0,0.0
Static,MIXED,4,410.936,4.365,0.0,0.0
Static,MIXED,8,410.936,4.59,0.0,0.0
Static,MIXED,16,410.018,5.154,0.0,0.0
Static,MIXED,32,218.179,12.583,37.43,116143.0
Static,TCP,1,290.871,4.288,0.0,0.0
Static,TCP,2,290.871,4.288,0.0,0.0
Static,TCP,4,290.871,4.291,0.0,0.0
Static,TCP,8,290.871,4.362,0.0,0.0
Static,TCP,16,290.871,4.877,0.0,0.0
Static,TCP,32,217.117,7.226,16.32,14949.0
