clientes,mobilidade,aplicacao,throughput,delay,packet_loss
16,mobile,cbr,8.514392299999999,10.0137,1.7604
16,mobile,mixed,8.745609,7.043,0.0371
16,mobile,tcp,9.0005528,6.5104,0.0391
16,static,cbr,8.6399653,8.4929,0.0085
16,static,mixed,8.840069100000001,6.939,0.0084
16,static,tcp,9.0397818,6.4369,0.0141
1,mobile,cbr,0.5400158,6.2729,0.0
1,mobile,mixed,0.5400158,6.2729,0.0
1,mobile,tcp,0.5649687999999999,6.367,0.0265
1,static,cbr,0.5400158,6.2721,0.0
1,static,mixed,0.5400158,6.2721,0.0
1,static,tcp,0.5649962000000001,6.3668,0.0132
2,mobile,cbr,1.0743665,6.7728,4.7939
2,mobile,mixed,1.1045474999999998,6.3599,0.0569
2,mobile,tcp,1.1293389999999999,6.3749,0.0564
2,static,cbr,1.0800238,6.7079,0.0
2,static,mixed,1.1050797,6.3391,0.0
2,static,tcp,1.1300603,6.4262,0.0066
32,mobile,cbr,15.938718399999999,197.2332,7.832
32,mobile,mixed,17.2132039,131.6429,0.9834
32,mobile,tcp,17.8893774,326.618,1.2615
32,static,cbr,15.558045400000001,258.8361,10.0285
32,static,mixed,17.071741000000003,131.9525,0.5416
32,static,tcp,17.9340123,217.9526,0.3237
4,mobile,cbr,2.1600338000000003,6.9176,0.0
4,mobile,mixed,2.2099821000000004,6.4865,0.0101
4,mobile,tcp,2.2599206,6.3669,0.0199
4,static,cbr,2.1600422,6.9307,0.0
4,static,mixed,2.2100215,6.4971,0.0067
4,static,tcp,2.2599028,6.3666,0.0199
8,mobile,cbr,4.2707751,8.7723,2.0121
8,mobile,mixed,4.3674762000000005,6.7019,0.0469
8,mobile,tcp,4.4790409,6.3826,0.0584
8,static,cbr,4.3200458,7.4051,0.0017
8,static,mixed,4.4199882,6.5996,0.0084
8,static,tcp,4.5198725,6.3798,0.0149
